name,count,max_rssi,min_rssi,avr_rssi,max_snr,min_snr,avr_snr,lat,lng
0,100,-48.0,-52.0,-50.19,8.0,2.0,7.53,41.9352778,9.153611111111111
1,100,-77.0,-111.0,-96.89,8.0,-0.0,6.54,41.9347222,9.154444444444445
2,100,-92.0,-98.0,-94.33,8.0,6.0,7.42,41.9352778,9.154722222222222
5,96,-111.0,-117.0,-111.97916666666667,3.0,-3.0,2.0208333333333335,41.9361111,9.154166666666667
7,100,-112.0,-114.0,-112.83,2.0,-1.0,0.85,41.9358333,9.151666666666667
8,100,-99.0,-111.0,-101.51,7.0,1.0,6.37,41.9352778,9.152222222222223
9,99,-96.0,-102.0,-98.03030303030303,8.0,6.0,7.777777777777778,41.9347222,9.152777777777779
10,100,-93.0,-103.0,-97.87,8.0,5.0,7.4,41.9344444,9.153055555555556
11,100,-86.0,-91.0,-89.24,8.0,6.0,7.21,41.9341667,9.153611111111111
12,100,-103.0,-109.0,-105.94,7.0,2.0,4.86,41.9341667,9.154444444444445
