pool1,pool2,pool3,pool4
"41.998043821647386, 8.827354780676874","41.9972752331921, 8.827413276532676","41.99733226129442, 8.8275101565855","41.99848509173834, 8.826627356285375"
"41.998018204114295, 8.827360312815324","41.99727489083155, 8.82741688502416","41.99733004382174, 8.827510579037375","41.998444962862564, 8.82665681006463"
"41.998017924205506, 8.827360235347092","41.99727427900902, 8.827416832817274","41.99732945647411, 8.827510568701284","41.99844487361026, 8.826656418303244"
"41.99801939291712, 8.8273600480938","41.99727421554635, 8.827416762174954","41.99732950669669, 8.827510691188312","41.9984472219899, 8.82665478093585"
"41.99801822744422, 8.827360412312753","41.997274050063524, 8.827417050286497","41.997329267015964, 8.827510853251901","41.99844548239218, 8.82665609158741"
"41.99801838837601, 8.827360181509192","41.99727431161623, 8.827416811824865","41.99732952110273, 8.827510602107084","41.99844558555442, 8.826655956015706"
"41.9980182609851, 8.82736019463524","41.99727431651706, 8.827416814882433","41.99732951634034, 8.82751058845605","41.99844538211612, 8.826656094504271"
"41.99801838155796, 8.827360192748605","41.99727422020625, 8.827416829502411","41.997329435850624, 8.82751063053831","41.99844562730318, 8.826655887193771"
"41.99801751814952, 8.827361409843155","41.99727227485389, 8.827418128941726","41.997327570895784, 8.827512066264859","41.998445385071754, 8.82665608029117"
"41.99801829601726, 8.827360213767363","41.99727503897956, 8.827416781695495","41.9973301876438, 8.8275104686524","41.99844502256822, 8.826656764093277"
"41.99801858108814, 8.827360451578809","41.99727359746237, 8.827417150914386","41.9973288742371, 8.827511055506339","41.998446298925984, 8.82665536778928"
"41.99801818217984, 8.827360314484716","41.99727406786564, 8.827416947658584","41.997329280257375, 8.827510742583573","41.998445400919394, 8.82665605344815"
"41.998018230709825, 8.827360364536645","41.99727392105438, 8.82741701257758","41.99732914782141, 8.827510832216113","41.998445561600754, 8.826655918620915"
"41.99801772047108, 8.827360944112197","41.99727296545823, 8.827417626048463","41.99732822527019, 8.827511501823942","41.99844530705528, 8.826656076691533"
"41.99801681578188, 8.827361353378166","41.99727217598833, 8.827418026545303","41.99732742725117, 8.827511887797476","41.99844433621517, 8.826656595005883"
"41.99801843366723, 8.827359843868317","41.997274215337654, 8.827416484958606","41.99732943532845, 8.827510293085586","41.998445712125175, 8.826655484387244"
"41.998018373441106, 8.827359943149801","41.99727397947404, 8.827416597607538","41.99732921253079, 8.827510427931085","41.99844575264325, 8.826655417594075"
"41.998020940221444, 8.82735872463197","41.99727353624678, 8.827415608175858","41.99732899245546, 8.827509817884195","41.998450047750154, 8.826651349966529"
"41.99802082250977, 8.827359567503054","41.99727346936197, 8.827416447178601","41.99732892183327, 8.827510650537853","41.99844990076256, 8.82665224109836"
"41.998020890690285, 8.827359455108923","41.997273564782915, 8.82741633271125","41.997329015351774, 8.827510532545933","41.998449953303506, 8.826652154485718"
"41.99814465311324, 8.827332473591651","41.99726373030727, 8.827399519008578","41.99732909358482, 8.827510558625795","41.99865041778358, 8.826498731253105"
"41.99802586073436, 8.827359323919875","41.99727408488084, 8.827416540199431","41.99732986562966, 8.827511300946277","41.998457478197494, 8.826647811680743"
"41.998025737056736, 8.827359205901693","41.99733938866567, 8.827411442617244","41.997390314785505, 8.827497956284622","41.99841979061671, 8.826709616960699"
"41.99803316165937, 8.827358593015378","41.99728038321861, 8.827415885600006","41.997336238205385, 8.82751077275551","41.99846535483309, 8.826646131729527"
"41.998020310926215, 8.827360410119182","41.99729947136941, 8.827415271894012","41.99735295668696, 8.827506133145327","41.99843416691715, 8.826678177290455"
"41.998018459019974, 8.827363480191911","41.99727437271296, 8.827420111234204","41.997329582907845, 8.827513902719845","41.998445661679746, 8.82665924566253"
"41.99801828623046, 8.827360454079749","41.997300423226896, 8.827415089314576","41.99735368768823, 8.827505575373726","41.99843043329134, 8.82668103838602"
"41.99801820062697, 8.827360241682184","41.997274400950104, 8.827416850909582","41.99732959003009, 8.827510606232387","41.99844523862895, 8.82665627858766"
"41.998018226188954, 8.827360204573454","41.99727431221486, 8.827416822499803","41.9973295096229, 8.827510592263017","41.99844532990713, 8.826656133147193"
"41.99801821418116, 8.827360208560556","41.99727426810692, 8.82741682892999","41.99732946793063, 8.827510602797","41.99844533623435, 8.826656106909425"
"41.99801816720489, 8.827360265881293","41.997274218910526, 8.827416886419698","41.99732941886507, 8.827510660508953","41.9984452906274, 8.826656161972872"
"41.99801707441188, 8.827361746147831","41.99727224446693, 8.827418433787043","41.99732750983874, 8.827512319007655","41.99844470401689, 8.826656807808279"
"41.998017658592794, 8.82736097426497","41.997273190522584, 8.82741763436256","41.99732842904379, 8.827511473969148","41.99844508043448, 8.826656378418857"
"41.99801776237477, 8.827360967724244","41.997273147591805, 8.827417638987873","41.99732839715155, 8.827511497054152","41.99844526835406, 8.826656233179067"
"41.998017673713456, 8.82736137470424","41.997285599842556, 8.827417091502083","41.997339918578334, 8.827509368863062","41.99843797976169, 8.826668509092796"
"41.99801843250319, 8.827360576524677","41.997273476314994, 8.827417273772031","41.99732875105391, 8.827511174905498","41.998446134588285, 8.826655518703227"
"41.99801940627128, 8.827360077094852","41.997273898391256, 8.827416816330457","41.99732921406494, 8.827510787004242","41.9984474250995, 8.826654497129066"
"41.998018697176825, 8.827360260209064","41.997273882442414, 8.827416946690631","41.99732914668563, 8.827510829993965","41.998446318049, 8.8266553362654"
"41.998017976840444, 8.827360363417752","41.99727399676488, 8.827416986374965","41.997329198924895, 8.827510764503547","41.99844511860417, 8.826656229274214"
"41.99801784258762, 8.827360818250519","41.997272906873484, 8.827417513939631","41.997328180093234, 8.82751141249236","41.99844553291795, 8.826655779806561"
"41.99801774084941, 8.827360968719269","41.997273063300405, 8.827417644759905","41.997328317398555, 8.82751151082873","41.998445282864594, 8.826656174769687"
"41.997988874714224, 8.827408498605013","41.997194054880765, 8.827468990882833","41.997253029434525, 8.827569177289025","41.99844520504003, 8.8266562477356"
"41.998017692232914, 8.827360288665641","41.9972741610892, 8.827416877455478","41.99732933009173, 8.82751059896323","41.99844457615651, 8.826656579566105"
"41.99801812477106, 8.827360261106211","41.99727416856124, 8.827416882247046","41.99732936910309, 8.827510657334043","41.99844525273807, 8.826656149706263"
"41.99801671027693, 8.827361753635456","41.997271912525314, 8.827418438824491","41.997327175389685, 8.827512320078087","41.99844432139875, 8.826656845765033"
"41.99800872076766, 8.827363053460715","41.997270656994644, 8.827419226139007","41.99732542047833, 8.827512258455702","41.99843246561216, 8.82666451906649"
"41.99798344353009, 8.827374132789586","41.99725444488091, 8.827429615537953","41.99730853574471, 8.82752150520302","41.99840198381033, 8.826684178009245"
"41.998009853642706, 8.82736264669661","41.997271207850375, 8.827418863671323","41.997326014366465, 8.827511969384423","41.99843393273694, 8.826663561298794"
"41.998018720968545, 8.827360226737099","41.99727530112578, 8.827416807056023","41.997330462022596, 8.827510514501043","41.99844554089619, 8.826656623133534"
"41.99801736141501, 8.827361611453378","41.997273768941206, 8.827418204910934","41.997328942375596, 8.827511934240226","41.99844428055006, 8.826657844308482"
"41.99800972479391, 8.827361398344717","41.997273144160154, 8.827417458144003","41.99732779744426, 8.827510303545518","41.998432618217585, 8.8266642674997"
"41.9980118057914, 8.827361821301011","41.99727275227466, 8.82741806930688","41.997327588924584, 8.827511226504255","41.99843611897269, 8.826662350015681"
"41.998016459019325, 8.827361781263145","41.997277032039435, 8.827418057692608","41.997331896518574, 8.827511261873779","41.99844098661718, 8.826661956516617"
"41.99801503230824, 8.827362235548021","41.99727209263016, 8.82741877932249","41.99732721774675, 8.827512426276467","41.99844157665334, 8.826659086236422"
"41.99801663009549, 8.827362086999166","41.99727118308635, 8.827418821602002","41.99732649409084, 8.827512784636395","41.99844461407056, 8.82665656448808"
"41.99800322945541, 8.827362430147597","41.997272617734154, 8.827418035663916","41.99732682825181, 8.827510128597831","41.998422695944235, 8.826670948532042"
"41.998016404940095, 8.82736100028078","41.99727302379875, 8.82741757765421","41.99732818167131, 8.82751128025428","41.99844320274272, 8.826657433149803"
"41.998016299386144, 8.827361023394472","41.99727321466335, 8.827417578208031","41.9973283506608, 8.827511243353845","41.99844292700585, 8.826657736806451"
"41.99801731899953, 8.827360523834535","41.997273886461784, 8.827417105119652","41.99732904814788, 8.827510814198197","41.99844414631041, 8.826656908059844"
"41.99801615224136, 8.827360389361996","41.9972743672988, 8.827416845251669","41.99732940673557, 8.827510346652158","41.99844203361757, 8.826658332940571"
"41.998015618161354, 8.827360437013908","41.99727829183406, 8.82741655356656","41.997333000447625, 8.827509492962148","41.99843893971043, 8.826662600413226"
"41.99801097357583, 8.827360800510585","41.997274780532955, 8.827416830811043","41.99732940505835, 8.827509627357033","41.99843364447174, 8.826664036497855"
"41.998014265046365, 8.82736231695626","41.9972713096721, 8.82741886192534","41.99732643595332, 8.827512510857812","41.99844081840313, 8.826659152789116"
"41.99801796776705, 8.82736061189489","41.99727354309544, 8.827417268689494","41.99732877827778, 8.827511102916654","41.99844536469225, 8.826656057123056"
"41.998015426812934, 8.827361145479568","41.99727304618446, 8.827417646705799","41.99732812993908, 8.827511223101085","41.99844165019059, 8.826658525275981"
"41.99801787863299, 8.827360369391272","41.99727416394218, 8.827416972150537","41.99732934656366, 8.82751071679425","41.99844486793655, 8.826656486575065"
"41.99800882031836, 8.827361064306151","41.99727426548204, 8.827416969925718","41.99732876845473, 8.82750955997708","41.998430550669895, 8.826665850760904"
"41.998017711384, 8.82736031529581","41.99727580998441, 8.827416780048813","41.99733085794338, 8.827510296219549","41.998443659621756, 8.826658148654557"
"41.99801772998648, 8.827360328459893","41.997276210636976, 8.827416764135767","41.9973312303671, 8.82751023205846","41.9984434588776, 8.826658523406891"
"41.99801578859718, 8.827363295279174","41.99726952061589, 8.82742009236469","41.997324892535396, 8.82751415888197","41.998444243917426, 8.826656995765571"
"41.99801680996527, 8.827360678214701","41.99727697652007, 8.827416985579493","41.99733187112447, 8.827510240937693","41.99844157102196, 8.826660468616277"
"41.99801751252532, 8.827360441923817","41.99727499641023, 8.82741695346169","41.99733009013293, 8.827510547083488","41.9984438135953, 8.826657693646073"
"41.99801530658796, 8.827361343667887","41.99727291656748, 8.827417845608927","41.99732800086631, 8.827511423221406","41.99844153545253, 8.826658714419256"
"41.997982919271, 8.827372082692012","41.99726158655553, 8.827426982000242","41.99731510843088, 8.827517905356213","41.998397058494064, 8.826689382961147"
"41.99801565249168, 8.827361553049936","41.99727490289543, 8.827417930141303","41.99732986562966, 8.827511300946277","41.99844093944396, 8.826660476523749"
"41.99801093363228, 8.827363059287576","41.997272892139094, 8.827419230270191","41.997327653816996, 8.827512259811868","41.99843466577993, 8.826664545823851"
"41.998017830194, 8.827361299972639","41.99727430477074, 8.827417888327103","41.99732947319615, 8.827511609147127","41.998444710927956, 8.826657596131131"
