"id","rssi","lat","lon"
"0",-115,"41.9977982","8.8280001"
"1",-89,"41.997665","8.8278242"
"2",-81,"41.9974757","8.8275087"
"3",-102,"41.997363","8.8273757"
"4",-93,"41.9973425","8.8271704"
"5",-94,"41.9973405","8.8270504"
"6",-88,"41.9973938","8.8269047"
"7",-94,"41.9972608","8.8269913"
"8",-87,"41.9971264","8.8271003"
"9",-91,"41.997054","8.8271642"
"10",-99,"41.996924","8.827145"
"11",-89,"41.9968372","8.827111"
"12",-93,"41.9967515","8.8270961"
"13",-94,"41.9967865","8.8270111"
"14",-100,"41.9969087","8.8268885"
"15",-106,"41.9969679","8.8268143"
"16",-105,"41.9970602","8.8267435"
"17",-111,"41.9971775","8.8266511"
"18",-108,"41.9972723","8.8265966"
"19",-108,"41.9973346","8.8265496"
"20",-122,"41.9974319","8.8265243"
"22",-111,"41.9975218","8.8265836"
"28",-110,"41.9978794","8.8270572"
"29",-113,"41.9978852","8.82716"
"30",-105,"41.9978755","8.8272352"
"32",-105,"41.9977418","8.8273938"
"33",-95,"41.9976936","8.8274279"
"34",-81,"41.9976437","8.827453"
"35",-85,"41.9975704","8.8274905"
"36",-77,"41.9975118","8.8275177"
"37",-80,"41.9973787","8.8275702"
"38",-84,"41.9972799","8.8275602"
"39",-85,"41.9971762","8.8274787"
"40",-83,"41.9970935","8.8274059"
"41",-94,"41.9970287","8.8273821"
"42",-98,"41.9969532","8.8272754"
"44",-102,"41.9968398","8.8271988"
"45",-99,"41.9967335","8.8270786"
"46",-87,"41.9966169","8.82721"
"47",-101,"41.9965494","8.827362"
"48",-84,"41.996526","8.82744"
"49",-88,"41.9965109","8.8275042"
"50",-91,"41.9964239","8.8275351"
"51",-89,"41.9963263","8.8275815"
"52",-93,"41.9963144","8.827704"
"53",-102,"41.9963394","8.8278512"
"54",-104,"41.9963896","8.8279323"
"55",-94,"41.9964713","8.8279658"
"56",-103,"41.9964706","8.8280446"
"57",-100,"41.9965123","8.8280506"
"58",-102,"41.9965732","8.8280199"
"59",-94,"41.9966472","8.8280385"
"60",-91,"41.9967103","8.8280557"
"61",-96,"41.9967632","8.8280648"
"62",-98,"41.9968257","8.828021"
"63",-98,"41.9968598","8.8279995"
"64",-98,"41.9968881","8.8280145"
"65",-97,"41.9968903","8.8279962"
"66",-100,"41.9969106","8.8280073"
"67",-96,"41.9969425","8.8279912"
"68",-97,"41.9969671","8.827972"
"69",-94,"41.9969717","8.8279255"
"70",-93,"41.9969956","8.8278944"
"71",-98,"41.9970341","8.8277889"
"72",-83,"41.9970947","8.8277158"
"73",-88,"41.997164","8.8276747"
"74",-82,"41.997229","8.8277302"
"76",-81,"41.9972519","8.8278393"
"77",-87,"41.9972541","8.8279006"
"78",-81,"41.9972874","8.8279454"
"79",-69,"41.9972878","8.8280089"
"80",-75,"41.9972273","8.8281136"
"81",-83,"41.997228","8.828194"
"82",-78,"41.9972768","8.828253"
"83",-86,"41.9973382","8.8282875"
"84",-89,"41.9974186","8.8283444"
"85",-99,"41.9975388","8.8284039"
"86",-98,"41.9975698","8.8284624"
"87",-97,"41.9976669","8.8285382"
"88",-110,"41.9976919","8.8284467"
"89",-105,"41.9976453","8.828331"
"92",-96,"41.9976684","8.8280409"
"93",-80,"41.9976354","8.8280091"
"94",-74,"41.997573","8.827961"
"95",-75,"41.9974777","8.8279869"
"96",-72,"41.9973983","8.8280993"
"97",-82,"41.9973491","8.82818"
