id04,rssi04,id10,rssi10,id02,rssi02
0,-92,0,-86,0,-82
1,-89,1,-85,1,-82
2,-91,2,-86,2,-85
3,-91,3,-86,3,-84
5,-88,5,-85,5,-84
6,-89,6,-85,6,-84
7,-89,7,-86,7,-84
8,-88,8,-85,8,-84
9,-89,9,-86,9,-84
10,-89,10,-86,10,-84
11,-89,11,-86,11,-85
12,-91,12,-88,12,-86
13,-86,13,-70,13,-75
14,-92,14,-85,14,-71
15,-102,15,-72,15,-88
16,-101,16,-75,16,-92
17,-106,17,-72,17,-85
18,-99,18,-72,18,-84
19,-100,19,-74,19,-84
20,-99,20,-74,20,-83
21,-98,21,-75,21,-84
22,-98,22,-74,22,-84
23,-98,23,-74,23,-84
24,-97,24,-74,24,-85
25,-99,25,-75,25,-85
26,-97,26,-75,26,-84
27,-98,27,-76,27,-85
28,-98,28,-75,28,-85
29,-97,29,-76,29,-85
30,-97,30,-75,30,-84
32,-95,32,-89,32,-89
33,-110,33,-95,33,-82
34,-103,34,-101,34,-87
35,-102,35,-99,35,-97
36,-115,36,-102,36,-96
37,-124,37,-99,37,-97
38,-121,38,-100,38,-97
39,-121,39,-101,39,-98
40,-127,40,-99,40,-97
41,-123,41,-99,41,-96
42,-121,42,-98,42,-95
43,-122,43,-98,43,-96
44,-121,44,-98,44,-95
45,-118,45,-98,45,-96
46,-117,46,-103,46,-97
47,-100,47,-92,47,-87
