idGW1,rssiGW1,idGW2,rssiGW2,idGW3,rssiGW3,idGW4,rssiGW4
0,-102,0,-115,0,-38,0,-111
1,-100,1,-89,1,-72,1,-105
2,-89,2,-81,2,-96,2,-92
3,-100,3,-102,3,-87,3,-100
4,-103,4,-93,4,-75,4,-99
5,-92,5,-94,5,-84,5,-96
6,-47,6,-88,6,-78,6,-94
7,-94,7,-94,7,-84,7,-91
8,-110,8,-87,8,-72,8,-92
9,-94,9,-91,9,-75,9,-105
10,-105,10,-99,10,-88,10,-91
11,-100,11,-89,11,-85,11,-89
12,-102,12,-93,12,-86,12,-70
13,-108,13,-94,13,-95,13,-77
14,-110,14,-100,14,-103,14,-83
15,-100,15,-106,15,-106,15,-102
16,-100,16,-105,16,-105,16,-97
17,-102,17,-111,17,-110,17,-102
18,-104,18,-108,18,-105,18,-97
19,-102,19,-108,19,-105,19,-92
20,-103,20,-122,20,-105,20,-99
22,-110,22,-111,22,-104,22,-110
28,-108,28,-110,28,-93,28,-124
29,-112,29,-113,29,-92,29,-116
30,-108,30,-105,30,-82,30,-120
32,-115,32,-105,32,-70,32,-114
33,-104,33,-95,33,-70,33,-120
34,-95,34,-81,34,-70,34,-99
35,-85,35,-85,35,-82,35,-94
36,-85,36,-77,36,-74,36,-89
37,-97,37,-80,37,-84,37,-94
38,-111,38,-84,38,-95,38,-103
39,-108,39,-85,39,-92,39,-99
40,-108,40,-83,40,-77,40,-98
41,-110,41,-94,41,-81,41,-117
42,-106,42,-98,42,-75,42,-94
44,-101,44,-102,44,-78,44,-79
45,-102,45,-99,45,-88,45,-71
46,-101,46,-87,46,-94,46,-71
47,-108,47,-101,47,-101,47,-85
48,-108,48,-84,48,-86,48,-95
49,-126,49,-88,49,-91,49,-97
50,-97,50,-91,50,-99,50,-88
51,-97,51,-89,51,-92,51,-89
52,-111,52,-93,52,-100,52,-99
53,-113,53,-102,53,-111,53,-103
54,-120,54,-104,54,-116,54,-103
55,-112,55,-94,55,-110,55,-98
56,-104,56,-103,56,-101,56,-108
57,-111,57,-100,57,-100,57,-109
58,-108,58,-102,58,-111,58,-100
59,-110,59,-94,59,-109,59,-103
60,-111,60,-91,60,-101,60,-113
61,-112,61,-96,61,-105,61,-106
62,-112,62,-98,62,-101,62,-98
63,-110,63,-98,63,-113,63,-102
64,-108,64,-98,64,-104,64,-95
65,-108,65,-97,65,-104,65,-100
66,-105,66,-100,66,-103,66,-101
67,-98,67,-96,67,-105,67,-100
68,-99,68,-97,68,-106,68,-112
69,-98,69,-94,69,-110,69,-104
70,-112,70,-93,70,-106,70,-100
71,-106,71,-98,71,-98,71,-97
72,-108,72,-83,72,-105,72,-94
73,-101,73,-88,73,-96,73,-98
74,-101,74,-82,74,-111,74,-100
76,-98,76,-81,76,-98,76,-108
77,-99,77,-87,77,-98,77,-109
78,-114,78,-81,78,-99,78,-101
79,-105,79,-69,79,-102,79,-111
80,-102,80,-75,80,-99,80,-106
81,-109,81,-83,81,-105,81,-100
82,-119,82,-78,82,-116,82,-111
83,-110,83,-86,83,-104,83,-110
84,-113,84,-89,84,-109,84,-110
85,-110,85,-99,85,-96,85,-109
86,-115,86,-98,86,-100,86,-114
87,-120,87,-97,87,-89,87,-116
88,-121,88,-110,88,-97,88,-109
89,-101,89,-105,89,-86,89,-105
92,-118,92,-96,92,-94,92,-106
93,-109,93,-80,93,-91,93,-99
94,-105,94,-74,94,-98,94,-92
95,-105,95,-75,95,-99,95,-108
96,-111,96,-72,96,-109,96,-105
97,-114,97,-82,97,-109,97,-100
